traceID,timestamp,TML Before Sanitization,TML After Sanitization,Formula Info,dropped/not,tokens dropped
01120e3ffe0bc327,1735755736778753.0,[top 1 [CLASS] sort by count [CLASS]],[top 1 [CLASS] sort by count [CLASS]],,0,NA
01bd322587a59134,1735729955884314.0,[[Product Name] [State] in ([State] bottom 3 [State] [Order Date] = 'q1 2016' [Region] = [Region].'west' sort by [Sales]) sort by [Sales] descending],[[Product Name] [State] in ( [State] bottom 3 [State] [Order Date] = 'q1 2016' [Region] = 'west' sort by [Sales] ) sort by [Sales] descending],,0,NA
031b2b0e4686cfde,1735720492625990.0,[average [Deployment Duration Minutes] [entities_stg__organization_Id] = [entities_stg__organization_Id].'c605ab22-f906-495b-8ae4-655e531a9d58' [entities_stg__environments_Created At].daily [entities_stg__environments_Created At] = 'last month'],[average [Deployment Duration Minutes] [entities_stg__environments_Created At].daily [entities_stg__environments_Created At] = 'last month' [entities_stg__organization_Id] = 'c605ab22-f906-495b-8ae4-655e531a9d58'],,0,NA
0627d07f0eb549bc,1735672267390661.0,[[Avg Members Count] [Date] = '2023' vs [Date] = '2023'],[[Avg Members Count] [Date] = '2023' vs [Date] = '2023'],,0,NA
0757b28cce44032c,1735677652659567.0,[average [Fedex Decked Cost] by [Max Item Weight] [Fedex Dest State] = [Fedex Dest State].'ca' [Max Item Weight] = 'bucketed by 10 lbs'],[average [Fedex Decked Cost] by [Max Item Weight] [Fedex Dest State] = 'ca'],,3,"['bucketed', 'lbs', '10']"
086903a26425ed50,1735680245340226.0,[[sales] [city] = 'boston' vs [city] = 'columbia' by [city] [item type].'jackets' [date] = '2023' [region] = [region].'east'],[[sales] [city] = 'boston' vs [city] = 'columbia' by [city] [item type].jackets [date] = '2023' [region] = 'east'],,0,NA
0f77f32b5229963c,1735672690324614.0,[average [Average Member count per month] [Date].'monthly' [Date] = '2023' sort by [Date] [].'monthly' [Gender] = 'm' [Gender] = 'f' [Claimtype] = 'null'],[average [Average Member count per month] [Date].monthly [Claimtype] = 'null' [Date] = '2023' [Gender] = 'm' [Gender] = 'f' sort by [Date] [Date].monthly],,0,NA
0fde8dcdf2456310,1735755947901338.0,[top 1 [CENTERINFO] sort by [NEGATIONS] descending],[top 1 [CENTERINFO] sort by [NEGATIONS]],,1,['descending']
113667a8ef330985,1735672012255486.0,[sum [Employees] sum [Members] by [Gender] [Date] = '2023' vs [Date] = '2024'],[sum [Employees] sum [Members] [Date] = '2023' vs [Date] = '2024' by [Gender]],,0,NA
12ffd872208cc4da,1735758816629585.0,[[ROOTWORD] [SOURCE]],[[SOURCE] [ROOTWORD]],,0,NA
